name,type,total,annual,sharpe,win_rate,max_drawdown,n,final_value
规则:PP<0.50&RSI<50,规则,-0.9663106827,-0.782543950181892,-2.0838463947647714,0.07142857142857142,-0.9565789010300381,28,33689.31730000001
规则:PP<0.35&RSI<50,规则,-0.9671260503,-0.784928259932208,-2.12081086331157,0.14285714285714285,-0.9584420262273732,28,32873.949700000056
规则:PP<0.45&RSI<50,规则,-0.9671700377,-0.7850578083627937,-2.2021760639571544,0.07142857142857142,-0.9574196415617082,28,32829.9623
规则:PP<0.30&RSI<50,规则,-0.9672414952999999,-0.78526846366569,-2.600636534056407,0.10714285714285714,-0.9578470414720643,28,32758.504700000074
规则:PP<0.30&RSI<55,规则,-0.9675317095,-0.786126616357125,-2.4646930256942117,0.17857142857142858,-0.9582204830332361,28,32468.2905
规则:PP<0.60&RSI<50,规则,-0.9679052516,-0.7872373999412496,-2.190473273849882,0.03571428571428571,-0.9586995559246603,28,32094.748400000008
规则:PP<0.25&RSI<55,规则,-0.9681364222000002,-0.787928385575531,-2.4477586096635635,0.14285714285714285,-0.9594520933406379,28,31863.57779999978
规则:PP<0.20&RSI<35,规则,-0.9690381453000001,-0.7906503998704476,-2.3791533663528193,0.21428571428571427,-0.9604118635658776,28,30961.854699999934
规则:PP<0.40&RSI<55,规则,-0.9690645022999999,-0.7907306148281928,-2.2174687832168156,0.14285714285714285,-0.9603987350717923,28,30935.497700000105
规则:PP<0.60&RSI<55,规则,-0.9691688191000001,-0.7910484621870221,-2.4114841652803207,0.03571428571428571,-0.9608189561310109,28,30831.180899999894
规则:PP<0.45&RSI<55,规则,-0.9692354523000001,-0.7912517994276799,-2.3598509442328117,0.07142857142857142,-0.9605998524212984,28,30764.547699999963
规则:PP<0.50&RSI<55,规则,-0.9696328439000002,-0.7924695370579182,-2.2530100626701923,0.07142857142857142,-0.9613044581588484,28,30367.156099999887
规则:PP<0.55&RSI<55,规则,-0.9696939701000001,-0.7926576238206859,-2.324997990876041,0.07142857142857142,-0.961364845349827,28,30306.029899999838
规则:PP<0.30&RSI<60,规则,-0.9697959874999997,-0.792971999062368,-2.5412281762654785,0.14285714285714285,-0.9612725910602973,28,30204.012500000248
规则:PP<0.40&RSI<60,规则,-0.9699489848,-0.793444569843885,-2.4876146985630667,0.14285714285714285,-0.9616346441031944,28,30051.015199999998
规则:PP<0.35&RSI<60,规则,-0.9701320609999998,-0.7940117893446483,-2.406001697066951,0.14285714285714285,-0.9618974530954298,28,29867.939000000162
规则:PP<0.60&RSI<60,规则,-0.9701747501000003,-0.7941443264290738,-2.42002369320959,0.21428571428571427,-0.9620915986148557,28,29825.24989999965
规则:PP<0.35&RSI<55,规则,-0.9704403559999999,-0.7949713086484325,-2.31795223470276,0.17857142857142858,-0.9625617720002672,28,29559.644000000128
规则:PP<0.45&RSI<60,规则,-0.9705037627,-0.7951693334096313,-2.582676686274504,0.07142857142857142,-0.9622111949236902,28,29496.237299999953
规则:PP<0.25&RSI<60,规则,-0.9705482387000002,-0.7953083756582267,-2.4563016583189445,0.25,-0.96252124367069,28,29451.76129999977
规则:PP<0.55&RSI<60,规则,-0.9708499835000003,-0.7962547642724116,-2.4467819074969963,0.07142857142857142,-0.9629197585911474,28,29150.01649999971
规则:PP<0.50&RSI<60,规则,-0.9727867166000004,-0.8024616485761625,-2.555940425429242,0.10714285714285714,-0.965339977225267,28,27213.283399999622
