factor,conditions,cond_str,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
rsi,"[('rsi', '<', 30)]",rsi < 30,1.0160593508534748,1.8931940355228791,8.442108943512075,0.7058823529411765,-0.1380027344537743,17,0.08063963102011705
rsi,"[('rsi', '>', 80)]",rsi > 80,1.0763910905267486,1.8695991172527782,6.944366635137383,0.7142857142857143,-0.1984705227047846,14,0.08542786432751974
ret_20d_rev,"[('ret_20d_rev', '>', 0.15)]",ret_20d_rev > 0.15,0.966208685704923,1.6911526746778556,5.244947332273623,0.75,-0.09920014956652212,16,0.07668322902420024
vol_ratio_5,"[('vol_ratio_5', '>', 1.5)]",vol_ratio_5 > 1.5,1.1140135218086185,1.6825370229049492,4.384196413294702,0.6666666666666666,-0.29367458615031383,18,0.08841377157211258
rsi,"[('rsi', 'between', (20, 30))]","rsi between (20, 30)",0.7765130281769821,1.548392637184435,4.100036968931236,0.5882352941176471,-0.1526594642127561,17,0.0616280181092843
rsi,"[('rsi', '<', 25)]",rsi < 25,0.7903343806396951,1.471636705806768,4.966700359806978,0.5625,-0.11618368305230842,16,0.06272495084442024
ret_20d_rev,"[('ret_20d_rev', '>', 0.2)]",ret_20d_rev > 0.2,0.6766350512308976,1.2370557212905338,2.9270936490008572,0.6,-0.13547718593989266,15,0.053701194542134734
vol_ratio,"[('vol_ratio', '>', 2.0)]",vol_ratio > 2.0,0.8092095212958472,1.2025344195063998,3.5141371654739255,0.5,-0.30512891136589837,18,0.0642229778806228
ret_5d_rev,"[('ret_5d_rev', '>', 0.08)]",ret_5d_rev > 0.08,0.692812916080176,1.1945960076352289,1.8097508125847324,0.6875,-0.17406015037593991,16,0.05498515206985524
break_20d,"[('break_20d', '==', 1)]",break_20d == 1,0.8481328021577503,1.1345420949494422,2.8673693678962136,0.5,-0.3601950898143912,16,0.06731212715537702
ret_5d_rev,"[('ret_5d_rev', '>', 0.1)]",ret_5d_rev > 0.1,0.5940907873161567,1.0918073333653768,1.4545067313596454,0.6,-0.11111419227327068,15,0.04715006248540927
volatility,"[('volatility', '<', 0.015)]",volatility < 0.015,0.340733425230113,0.8720538674742228,3.683661497069886,0.5384615384615384,-0.19326986120741585,13,0.027042335335723255
rsi,"[('rsi', '<', 20)]",rsi < 20,0.3302618326856933,0.5979631521948431,1.3581694121006487,0.6,-0.2079792140872594,15,0.02621125656235661
vol_ratio_5,"[('vol_ratio_5', '>', 2.0)]",vol_ratio_5 > 2.0,0.33256536457689784,0.5233715604433133,1.2422757616726419,0.4444444444444444,-0.4619027937332162,18,0.026394076553722053
