conditions,cond_str,rebalance_days,top_n,val_annual,val_sharpe,val_win,val_dd,test_annual,test_sharpe,test_win,test_dd,robustness,final_score
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,10,10,8.891353037668472,8.012849375213182,0.9722222222222222,0.0,13.789158906978153,8.890705679606349,1.0,0.0,1.5508504553311502,7.14953133139819
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,10,10,8.891353037668472,8.012849375213182,0.9722222222222222,0.0,13.789158906978153,8.890705679606349,1.0,0.0,1.5508504553311502,7.14953133139819
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,10,9.056405268926694,7.5258683532026485,1.0,0.0,13.427535613189043,9.336013647279659,1.0,0.0,1.4826562211454994,7.082494384653241
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,10,8.862522888322378,7.305048229839882,0.9722222222222222,0.0,13.126283144181565,8.970811046274326,1.0,0.0,1.481100055772752,6.918995924267704
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,10,8.716016153899963,7.19109765927941,0.9444444444444444,-0.01594767428774213,12.052856636366178,17.94579771209192,1.0,0.0,1.3828400984517626,6.791905394424156
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,10,20,8.128782615923118,8.044035298975977,0.9722222222222222,0.0,12.149926191946232,12.725647768273099,1.0,0.0,1.4946796791128687,6.776537833476926
"[('volatility', '>', 0.03)]",volatility > 0.03,10,20,7.914886307933487,7.688069766764746,0.9444444444444444,-0.03546763781114359,11.359560970330367,23.193020568757095,1.0,0.0,1.4352146737653213,6.550907018749231
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,10,8.540565411044398,6.4717281118034276,0.9714285714285714,0.0,10.401385015880122,13.295334747863512,1.0,0.0,1.2178801420371266,6.455377167470653
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,10,30,6.901620157050665,7.567189819488546,0.9722222222222222,0.0,10.222680776597693,12.638698810955072,1.0,0.0,1.4812001448897831,6.017207053349853
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,10,6.517723452166711,7.674820573120377,1.0,0.0,12.11367177786995,8.744104489186713,1.0,0.0,1.8585740660480088,5.861307898019469
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,20,6.911391989825784,6.9814047963274,0.9722222222222222,0.0,10.08637867657645,10.454057094065337,1.0,0.0,1.4593845482103378,5.841994343453179
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,10,20,6.707120178975554,7.2317781439742115,0.9722222222222222,0.0,10.328464487522472,9.677161779204853,1.0,0.0,1.5399253646741786,5.82309353268004
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,10,20,6.707120178975554,7.2317781439742115,0.9722222222222222,0.0,10.328464487522472,9.677161779204853,1.0,0.0,1.5399253646741786,5.82309353268004
