conditions,cond_str,rebalance_days,top_n,total_ret,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,10,30,901.89859874779,5.531181378410477,6.442531841969117,0.0,0.9722222222222222,0.0,36,0.21949132454009831
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,10,30,901.89859874779,5.531181378410477,6.442531841969117,0.0,0.9722222222222222,0.0,36,0.21949132454009831
"[('bb_position', '<', 0.5)]",bb_position < 0.5,20,10,57.35778555493759,3.523177523353041,6.4254909827145354,0.0,0.9411764705882353,0.0,17,0.27961726375817786
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,30,202.60689723907797,4.341411725829679,6.415719261978673,0.0,0.9583333333333334,0.0,24,0.25841736463271897
"[('volatility', '>', 0.03)]",volatility > 0.03,15,20,446.5618183011074,5.105922728669971,6.403511670817334,0.0,0.9583333333333334,0.0,24,0.3039239719446411
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,30,1160.8576248855372,5.7647343969792715,6.391564666440478,0.0,0.9722222222222222,0.0,36,0.22875930146743143
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,15,10,678.6514618013257,5.530374120025299,6.305021847715085,0.0,0.9583333333333334,0.0,24,0.3291889357157916
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,20,184.92006546458953,4.265832147316912,6.264967592588254,0.0,0.9583333333333334,0.0,24,0.25391858019743524
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,20,184.92006546458953,4.265832147316912,6.264967592588254,0.0,0.9583333333333334,0.0,24,0.25391858019743524
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,20,1812.508903160677,6.235984967369508,6.223190902401444,31.70883510125618,0.9444444444444444,-0.08440524640051084,36,0.24745972092736146
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,20,91.55593107094889,3.7430152819178604,6.144484388050749,0.0,0.9444444444444444,0.0,18,0.2970647049141159
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,30,850.0641864173224,5.507370549226392,6.068118375470179,0.0,0.9722222222222222,0.0,36,0.2185464503661267
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,15,30,69.7201321081911,3.389966925885138,6.020995466216745,0.0,0.9583333333333334,0.0,24,0.20178374558840106
